City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,mahajanga,-15.7167,46.3167,82.42,61,75,3.44,MG,1689868862
226,miles city,46.4083,-105.8406,72.57,43,0,5.75,US,1689868929
227,uturoa,-16.7333,-151.4333,75.99,64,28,18.32,PF,1689869114
228,amungan,15.3652,119.9582,80.96,81,97,3.29,PH,1689869115
229,sinop,41.7711,34.8709,72.03,67,0,4.41,TR,1689869115
230,douglas,41.3,-96.167,77.68,63,0,9.22,US,1689869115
231,harper,4.375,-7.7169,78.8,83,100,12.46,LR,1689869115
232,trois-rivieres,46.3501,-72.5491,75.69,64,0,3.44,CA,1689868865
233,lodja,-3.4833,23.4333,91.45,24,8,1.66,CD,1689869115
234,san fernando,15.0286,120.6898,80.33,89,40,0.83,PH,1689868840
235,al hada,21.3675,40.2869,87.19,17,27,12.66,SA,1689869116
236,bandundu,-3.3167,17.3667,95.81,24,6,1.79,CD,1689869116
237,vila velha,-20.3297,-40.2925,75.15,81,75,16.11,BR,1689868841
238,merizo village,13.2658,144.6691,82.58,89,100,6.91,GU,1689869116
239,kurmuk,10.55,34.2833,73.67,93,100,3.83,SD,1689869117
240,kailua-kona,19.6406,-155.9956,82.6,91,75,10.36,US,1689869029
241,ofunato,39.0717,141.7167,66.99,94,87,1.9,JP,1689869117
242,ola,59.5833,151.2833,55.29,89,52,1.86,RU,1689869117
243,sarkand,45.41,79.9186,73.72,40,39,5.57,KZ,1689869117
244,port lincoln,-34.7333,135.8667,53.22,62,71,7.23,AU,1689868901
245,cururupu,-1.8283,-44.8683,86.68,56,21,6.49,BR,1689869117
246,lethem,3.3803,-59.7968,86.05,70,40,13.8,GY,1689868871
247,pechory,57.8164,27.6119,69.26,51,97,8.21,RU,1689869118
248,tindouf,27.6711,-8.1474,111.65,8,0,20.71,DZ,1689869118
249,aykhal,66.0,111.5,57.6,80,100,8.37,RU,1689869118
250,queenstown,-31.8976,26.8753,39.43,79,79,13.22,ZA,1689869118
251,tataouine,32.9297,10.4518,108.97,8,0,15.05,TN,1689869118
252,awjilah,29.1081,21.2869,101.35,13,0,10.38,LY,1689868961
253,paoua,7.2427,16.4406,75.29,89,100,4.32,CF,1689869119
254,wanning,18.8003,110.3967,81.61,90,16,5.73,CN,1689869119
255,mugia,43.1041,-9.2179,72.91,77,2,8.9,ES,1689869119
256,new norfolk,-42.7826,147.0587,44.71,97,65,2.98,AU,1689869119
257,el matama,16.7095,33.3565,105.44,17,40,6.69,SD,1689869119
258,northam,51.0333,-4.2167,65.39,67,20,12.39,GB,1689869120
